Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
46,integratedhealthserv_33.696450_73.050915,Integrated Health Services (IHS),"Integrated Health Services (IHS)
4.6(66)
Hospital
Open 24 hours · +92 51 111 362 867",Hospital,Open 24 hours,33.6964496,73.0509147,https://www.google.com/maps/place/Integrated+Health+Services+%28IHS%29/data=!4m7!3m6!1s0x38dfbfc894e8029b:0xfa1b648aa4daf439!8m2!3d33.6964496!4d73.0509147!16s%2Fg%2F11dxq_v0jq!19sChIJmwLolMi_3zgROfTapIpkG_o?authuser=0&hl=en&rclk=1,"Health, Islamabad"
47,onehealthmedicalserv_33.714684_73.056577,One Health Medical Services,"One Health Medical Services
4.7(12)
Family practice physician · House 8 Street Number 35
Open ⋅ Closes 5 PM · +92 300 0790738",Family practice physician,Open,33.714684,73.0565772,https://www.google.com/maps/place/One+Health+Medical+Services/data=!4m7!3m6!1s0x38dfbf35d4552521:0xd1a6170f65008131!8m2!3d33.714684!4d73.0565772!16s%2Fg%2F11jw55v5ym!19sChIJISVV1DW_3zgRMYEAZQ8XptE?authuser=0&hl=en&rclk=1,"Health, Islamabad"
48,pakistaninstituteofh_33.661463_73.139193,Pakistan institute of health,"Pakistan institute of health
3.0(2)
Hospital · M46Q+HMP
+92 342 0386611",Hospital,,33.6614627,73.139193,https://www.google.com/maps/place/Pakistan+institute+of+health/data=!4m7!3m6!1s0x38dfeb2746e53cc1:0x9d7879a98d2ed174!8m2!3d33.6614627!4d73.139193!16s%2Fg%2F11j3558p05!19sChIJwTzlRifr3zgRdNEujal5eJ0?authuser=0&hl=en&rclk=1,"Health, Islamabad"
49,smartmedicaldiagnost_33.698436_73.048823,Smart Medical & Diagnostics Centre ( SMDC),"Smart Medical & Diagnostics Centre ( SMDC)
5.0(415)
Medical Center ·  · Crescent Arcade, opp. Motorway Expess
Open ⋅ Closes 10 PM · +92 51 2340383",Medical Center,Open,33.6984362,73.0488229,https://www.google.com/maps/place/Smart+Medical+%26+Diagnostics+Centre+%28+SMDC%29/data=!4m7!3m6!1s0x38dfbf2235ed90a7:0x1fa908fbadbd9842!8m2!3d33.6984362!4d73.0488229!16s%2Fg%2F11jpd2vqlr!19sChIJp5DtNSK_3zgRQpi9rfsIqR8?authuser=0&hl=en&rclk=1,"Health, Islamabad"
50,drasadtamizuddinniza_33.710747_73.040610,Dr Asad Tamizuddin Nizami - Nizami Health Care Islamabad,"Dr Asad Tamizuddin Nizami - Nizami Health Care Islamabad
4.6(9)
Mental health service · P26R+76X
Closed ⋅ Opens 4 PM Fri · +92 332 6060000",Mental health service,Closed,33.710747,73.0406098,https://www.google.com/maps/place/Dr+Asad+Tamizuddin+Nizami+-+Nizami+Health+Care+Islamabad/data=!4m7!3m6!1s0x38dfbfe1e9daee19:0x655285179b1968f6!8m2!3d33.710747!4d73.0406098!16s%2Fg%2F11jcn0y1dl!19sChIJGe7a6eG_3zgR9mgZmxeFUmU?authuser=0&hl=en&rclk=1,"Health, Islamabad"
51,publichealthlaborato_33.688938_73.136687,Public Health Laboratory Division NIH,"Public Health Laboratory Division NIH
4.2(33)
Laboratory ·  · M4QP+GW7, NIH, Park Rd
Open ⋅ Closes 4 PM · +92 51 9255110",Laboratory,Open,33.6889375,73.1366875,https://www.google.com/maps/place/Public+Health+Laboratory+Division+NIH/data=!4m7!3m6!1s0x38dfebdd55b4a98f:0xbde71df752aa62f4!8m2!3d33.6889375!4d73.1366875!16s%2Fg%2F11spgxtc_c!19sChIJj6m0Vd3r3zgR9GKqUvcd570?authuser=0&hl=en&rclk=1,"Health, Islamabad"
52,psychologicalhealthc_33.697728_73.046929,Psychological health care center Islamabad,"Psychological health care center Islamabad
4.8(33)
Psychologist · House no, 279 Street 3, opposite tandoori restaurant
+92 300 8505221",Psychologist,,33.6977283,73.0469289,https://www.google.com/maps/place/Psychological+health+care+center+Islamabad/data=!4m7!3m6!1s0x38dfbf72b1434937:0xe555922930620b05!8m2!3d33.6977283!4d73.0469289!16s%2Fg%2F11r7s3l2sh!19sChIJN0lDsXK_3zgRBQtiMCmSVeU?authuser=0&hl=en&rclk=1,"Health, Islamabad"
53,nihallergycenter_33.687253_73.139170,NIH Allergy Center,"NIH Allergy Center
4.2(466)
Hospital ·  · OPD, NIH Rd
Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri · +92 51 9255881",Hospital,Closes soon,33.6872534,73.1391704,https://www.google.com/maps/place/NIH+Allergy+Center/data=!4m7!3m6!1s0x38dfeb32942dbdd3:0xd97401ba33c6d8bc!8m2!3d33.6872534!4d73.1391704!16s%2Fg%2F11gmdf9jdj!19sChIJ070tlDLr3zgRvNjGM7oBdNk?authuser=0&hl=en&rclk=1,"Health, Islamabad"
54,hmdiagnosticsandclin_33.698479_73.048750,HM Diagnostics and Clinics,"HM Diagnostics and Clinics
4.8(213)
Medical clinic · Basement shop no. 11 & 12 Crescent Arcade, Road
Open ⋅ Closes 10 PM · +92 321 5199295",Medical clinic,Open,33.6984794,73.0487497,https://www.google.com/maps/place/HM+Diagnostics+and+Clinics/data=!4m7!3m6!1s0x38dfbfd2f102e0f9:0x3e7c6653ba9236fd!8m2!3d33.6984794!4d73.0487497!16s%2Fg%2F11jx6jbvnp!19sChIJ-eAC8dK_3zgR_TaSulNmfD4?authuser=0&hl=en&rclk=1,"Health, Islamabad"
55,aayanhealthclinic_33.705295_73.068247,Aayan Health Clinic,"Aayan Health Clinic
4.6(19)
Medical clinic ·  · Sitara، Shop # 1-2, Kohsar Cinema Building. Sitara Market, Islamabad G-7 Markaz، Market
Open ⋅ Closes 11 PM · +92 51 2606816",Medical clinic,Open,33.7052947,73.0682471,https://www.google.com/maps/place/Aayan+Health+Clinic/data=!4m7!3m6!1s0x38dfbf94f6965785:0x4ac781ac8c060939!8m2!3d33.7052947!4d73.0682471!16s%2Fg%2F11c1ngy_97!19sChIJhVeW9pS_3zgROQkGjKyBx0o?authuser=0&hl=en&rclk=1,"Health, Islamabad"
56,nationalinstituteofr_33.695805_73.041512,National Institute of Rehabilitation Medicine (NIRM),"National Institute of Rehabilitation Medicine (NIRM)
4.2(244)
Government hospital ·  · 2 Street 9
Closed ⋅ Opens 8 AM Fri · +92 51 9262213",Government hospital,Closed,33.6958055,73.0415123,https://www.google.com/maps/place/National+Institute+of+Rehabilitation+Medicine+%28NIRM%29/data=!4m7!3m6!1s0x38dfbfcb2174c5f3:0x36de02b41a2e62d2!8m2!3d33.6958055!4d73.0415123!16s%2Fg%2F12mkz5mms!19sChIJ88V0Icu_3zgR0mIuGrQC3jY?authuser=0&hl=en&rclk=1,"Health, Islamabad"
57,nationalinfluenzacen_33.688783_73.137304,National Influenza Center Islamabad,"National Influenza Center Islamabad
5.0(3)
Public health department · M4QP+GW7 Department of Virology, Public health division, NIH
Open ⋅ Closes 4:30 PM · +92 51 9255099",Public health department,Open,33.6887833,73.1373039,https://www.google.com/maps/place/National+Influenza+Center+Islamabad/data=!4m7!3m6!1s0x38dfc134de2c91c5:0x7d46b5a14cd5ca78!8m2!3d33.6887833!4d73.1373039!16s%2Fg%2F11flbvvj9z!19sChIJxZEs3jTB3zgReMrVTKG1Rn0?authuser=0&hl=en&rclk=1,"Health, Islamabad"
58,healthnutritionloung_33.712002_73.061065,Health & Nutrition Lounge,"Health & Nutrition Lounge
5.0(140)
Medical clinic · First Floor, Health & Nutrition Lounge, Masco Plaza, Jinnah Ave
Open 24 hours · +92 334 5765821",Medical clinic,Open 24 hours,33.7120024,73.0610646,https://www.google.com/maps/place/Health+%26+Nutrition+Lounge/data=!4m7!3m6!1s0x38dfbf3df05b8607:0x7a46cbf4347be17c!8m2!3d33.7120024!4d73.0610646!16s%2Fg%2F11qnts__9n!19sChIJB4Zb8D2_3zgRfOF7NPTLRno?authuser=0&hl=en&rclk=1,"Health, Islamabad"
59,laboratoryinislamaba_33.709835_73.057930,Laboratory in Islamabad | Pure Health Lab,"Laboratory in Islamabad | Pure Health Lab
5.0(4)
Laboratory · Royal Centre, Basement #4 B, AKM Fazl-ul-Haq Rd
Open ⋅ Closes 8:30 PM · +92 51 2806441",Laboratory,Open,33.7098354,73.0579299,https://www.google.com/maps/place/Laboratory+in+Islamabad+%7C+Pure+Health+Lab/data=!4m7!3m6!1s0x38dfbf7679707f47:0xb26a6efe3ca01c14!8m2!3d33.7098354!4d73.0579299!16s%2Fg%2F11n14df91b!19sChIJR39weXa_3zgRFBygPP5uarI?authuser=0&hl=en&rclk=1,"Health, Islamabad"
60,tummyfitinpakistan_33.713454_73.061021,Tummy Fit in Pakistan,"Tummy Fit in Pakistan
5.0(1)
Public health department · Street 30
Open ⋅ Closes 10 PM · +92 300 3393671",Public health department,Open,33.713454,73.061021,https://www.google.com/maps/place/Tummy+Fit+in+Pakistan/data=!4m7!3m6!1s0x392242a259a99daf:0xf13c3341a5d32926!8m2!3d33.713454!4d73.061021!16s%2Fg%2F1pzy73p87!19sChIJr52pWaJCIjkRJinTpUEzPPE?authuser=0&hl=en&rclk=1,"Health, Islamabad"
61,drmuhammadisrarnutri_33.710029_73.058316,"Dr. Muhammad Israr, Nutritionist and Dietitian","Dr. Muhammad Israr, Nutritionist and Dietitian
3.8(10)
Medical clinic · Ground Floor, BCL Consultant Clinics, Asif Plaza, Fazl-e-haq Road, near Beewell hospital
Open 24 hours · +92 333 5993630",Medical clinic,Open 24 hours,33.7100295,73.0583162,"https://www.google.com/maps/place/Dr.+Muhammad+Israr,+Nutritionist+and+Dietitian/data=!4m7!3m6!1s0x38df966c1d41506d:0xd240178511eafafb!8m2!3d33.7100295!4d73.0583162!16s%2Fg%2F11g8lqxgdt!19sChIJbVBBHWyW3zgR-_rqEYUXQNI?authuser=0&hl=en&rclk=1","Health, Islamabad"
62,islamabadclinic_33.722189_73.081613,Islamabad Clinic,"Islamabad Clinic
3.0(1)
Medical clinic · P3CJ+VJH, Huma Plaza, Fazal-e-Haq Rd, Block C, Blue Area
+92 346 5410860",Medical clinic,,33.7221895,73.0816131,https://www.google.com/maps/place/Islamabad+Clinic/data=!4m7!3m6!1s0x38dfbf83e0a54337:0x71ae13e20c84e362!8m2!3d33.7221895!4d73.0816131!16s%2Fg%2F12mkz7n5_!19sChIJN0Ol4IO_3zgRYuOEDOITrnE?authuser=0&hl=en&rclk=1,"Health, Islamabad"
63,rapidhealingmedicals_33.616116_73.086108,Rapid Healing Medical Services-Islamabad Clinic,"Rapid Healing Medical Services-Islamabad Clinic
4.4(14)
Psychologist
Open ⋅ Closes 7 PM · +92 336 1820007",Psychologist,Open,33.6161162,73.086108,https://www.google.com/maps/place/Rapid+Healing+Medical+Services-Islamabad+Clinic/data=!4m7!3m6!1s0x38dfbfe77b6af223:0xabddc83fde9e436f!8m2!3d33.6161162!4d73.086108!16s%2Fg%2F11jr6hpnh6!19sChIJI_Jqe-e_3zgRb0Oe3j_I3as?authuser=0&hl=en&rclk=1,"Health, Islamabad"
64,arshadhealthclinic_33.739461_73.082037,Arshad Health Clinic,"Arshad Health Clinic
4.9(11)
Medical clinic ·  · F-6-3, F-6, Islamabad, ICT
Closed ⋅ Opens 8 AM Fri · +92 51 2876866",Medical clinic,Closed,33.7394609,73.0820375,https://www.google.com/maps/place/Arshad+Health+Clinic/data=!4m7!3m6!1s0x38dfbf637c4b7d33:0xc6949c7b074bfe68!8m2!3d33.7394609!4d73.0820375!16s%2Fg%2F11xp58bq9!19sChIJM31LfGO_3zgRaP5LB3uclMY?authuser=0&hl=en&rclk=1,"Health, Islamabad"
65,shabbirhealthservice_33.718158_73.071358,Shabbir Health Services,"Shabbir Health Services
5.0(3)
Medical group · Azeem Mansion
Open ⋅ Closes 6:30 PM · +92 315 5623712",Medical group,Open,33.7181584,73.071358,https://www.google.com/maps/place/Shabbir+Health+Services/data=!4m7!3m6!1s0x38dfbf9d9fd988a1:0xf22d3ba20144565!8m2!3d33.7181584!4d73.071358!16s%2Fg%2F11sfkpgr11!19sChIJoYjZn52_3zgRZUUUILrTIg8?authuser=0&hl=en&rclk=1,"Health, Islamabad"
66,zobiahospitalg9islam_33.677978_73.030205,Zobia Hospital G-9 Islamabad,"Zobia Hospital G-9 Islamabad
3.5(103)
Hospital ·  · Street 30
Open 24 hours · +92 51 2261130",Hospital,Open 24 hours,33.6779776,73.0302046,https://www.google.com/maps/place/Zobia+Hospital+G-9+Islamabad/data=!4m7!3m6!1s0x38dfbf80a2b451a5:0x316fd483f145e55d!8m2!3d33.6779776!4d73.0302046!16s%2Fg%2F11h336n5v0!19sChIJpVG0ooC_3zgRXeVF8YPUbzE?authuser=0&hl=en&rclk=1,"Health, Islamabad"
67,rewiredhijamaandruqy_33.711485_73.041331,Rewired Hijama and Ruqyah Centre Islamabad,"Rewired Hijama and Ruqyah Centre Islamabad
5.0(274)
Medical clinic · Shop# 1B, Basement, Umar Plaza, ICT, 13-F Kohistan Rd
Open ⋅ Closes 9 PM · +92 333 1117834",Medical clinic,Open,33.7114849,73.0413315,https://www.google.com/maps/place/Rewired+Hijama+and+Ruqyah+Centre+Islamabad/data=!4m7!3m6!1s0x38dfbfea5d0fd797:0x2827b650b2b9e7a9!8m2!3d33.7114849!4d73.0413315!16s%2Fg%2F11s8dc35sz!19sChIJl9cPXeq_3zgRqee5slC2Jyg?authuser=0&hl=en&rclk=1,"Health, Islamabad"
68,familyhealthclinic_33.721045_73.088302,Family Health Clinic,"Family Health Clinic
5.0(1)
Medical clinic · 24 Street 89",Medical clinic,,33.7210448,73.0883024,https://www.google.com/maps/place/Family+Health+Clinic/data=!4m7!3m6!1s0x38dfc078c9062ad5:0x8583ed8cc47397fe!8m2!3d33.7210448!4d73.0883024!16s%2Fg%2F1tgdrhx6!19sChIJ1SoGyXjA3zgR_pdzxIztg4U?authuser=0&hl=en&rclk=1,"Health, Islamabad"
69,ihschildrenfamilyhos_33.686170_73.005672,IHS Children & Family Hospital,"IHS Children & Family Hospital
3.7(114)
Hospital ·  · Plot No. 2, Khursheed Market, Street 30
Open 24 hours · +92 51 2298217",Hospital,Open 24 hours,33.6861698,73.0056721,https://www.google.com/maps/place/IHS+Children+%26+Family+Hospital/data=!4m7!3m6!1s0x38dfbe11d091703f:0x2824dc7523490bbc!8m2!3d33.6861698!4d73.0056721!16s%2Fg%2F1tf9lmvg!19sChIJP3CR0BG-3zgRvAtJI3XcJCg?authuser=0&hl=en&rclk=1,"Health, Islamabad"
70,islamabadhepatitisce_33.720986_73.079717,Islamabad Hepatitis Centre & Gutcare Clinic,"Islamabad Hepatitis Centre & Gutcare Clinic
No reviews
Medical clinic · United Plaza AK, AKM Fazl-ul-Haq Rd
Open ⋅ Closes 9 PM · +92 51 2804025",Medical clinic,Open,33.7209861,73.0797173,https://www.google.com/maps/place/Islamabad+Hepatitis+Centre+%26+Gutcare+Clinic/data=!4m7!3m6!1s0x38dfbfbbaf4e4381:0x575921858ce530e4!8m2!3d33.7209861!4d73.0797173!16s%2Fg%2F12mkwb7dk!19sChIJgUNOr7u_3zgR5DDljIUhWVc?authuser=0&hl=en&rclk=1,"Health, Islamabad"
71,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,"Islamabad Specialist Clinic G-8 Markaz Islamabad
4.9(109)
Medical clinic ·  · G, 8 Markaz Rd
Open ⋅ Closes 9 PM · +92 343 0000433",Medical clinic,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Health, Islamabad"
72,wellnessloungeislama_33.697891_73.048961,Wellness Lounge Islamabad Pk,"Wellness Lounge Islamabad Pk
4.1(23)
Skin care clinic ·  · Office # 22, 1st Floor, Executive Complex
Open ⋅ Closes 8 PM · +92 335 5858268",Skin care clinic,Open,33.6978906,73.0489613,https://www.google.com/maps/place/Wellness+Lounge+Islamabad+Pk/data=!4m7!3m6!1s0x38dfbe6c673ce26f:0x70df554099614110!8m2!3d33.6978906!4d73.0489613!16s%2Fg%2F11hbnq0jfm!19sChIJb-I8Z2y-3zgREEFhmUBV33A?authuser=0&hl=en&rclk=1,"Health, Islamabad"
73,capitaldiagnosticcen_33.722189_73.081613,Capital Diagnostic Centre Blue Area,"Capital Diagnostic Centre Blue Area
4.4(49)
Medical diagnostic imaging center ·  · Pak Plaza, 22 Service Road, Fazl e Haq Road
Open 24 hours · +92 51 2604415",Medical diagnostic imaging center,Open 24 hours,33.7221895,73.0816131,https://www.google.com/maps/place/Capital+Diagnostic+Centre+Blue+Area/data=!4m7!3m6!1s0x38dfbf568f1888e7:0x2ad4994badbbe2bc!8m2!3d33.7221895!4d73.0816131!16s%2Fg%2F11p3hy5ndk!19sChIJ54gYj1a_3zgRvOK7rUuZ1Co?authuser=0&hl=en&rclk=1,"Health, Islamabad"
74,ntpislamabad_33.688712_73.140661,NTP Islamabad,"NTP Islamabad
4.0(2)
Federal government office · NIH
Open ⋅ Closes 5 PM · +92 800 888 00",Federal government office,Open,33.6887122,73.1406615,https://www.google.com/maps/place/NTP+Islamabad/data=!4m7!3m6!1s0x38dfeb354ee9b097:0xffa363448ae23fc0!8m2!3d33.6887122!4d73.1406615!16s%2Fg%2F11h7h94p_0!19sChIJl7DpTjXr3zgRwD_iikRjo_8?authuser=0&hl=en&rclk=1,"Health, Islamabad"
75,islamabadmedicalrheu_33.711801_73.041135,Islamabad Medical & Rheumotology Clinic,"Islamabad Medical & Rheumotology Clinic
4.3(6)
Medical clinic · Royal Inn Plaza, Plot 16 Kohistan Rd
+92 51 2254868",Medical clinic,,33.7118005,73.0411348,https://www.google.com/maps/place/Islamabad+Medical+%26+Rheumotology+Clinic/data=!4m7!3m6!1s0x38dfbfad2ffa05c7:0xe6cee6aada1bc56a!8m2!3d33.7118005!4d73.0411348!16s%2Fg%2F11x9hkf27!19sChIJxwX6L62_3zgRasUb2qrmzuY?authuser=0&hl=en&rclk=1,"Health, Islamabad"
76,gsrdiagnosticsclinic_33.720940_73.079361,GSR Diagnostics & Clinics,"GSR Diagnostics & Clinics
4.3(41)
Medical clinic ·  · Office 8, Plot 16-D, AKM, Safdar Mansion, AKM Fazl-ul-Haq Rd
Open 24 hours · +92 51 2278073",Medical clinic,Open 24 hours,33.7209401,73.0793612,https://www.google.com/maps/place/GSR+Diagnostics+%26+Clinics/data=!4m7!3m6!1s0x38dfbf83819377fb:0xfa087d05fff7ea95!8m2!3d33.7209401!4d73.0793612!16s%2Fg%2F12mkw8tvk!19sChIJ-3eTgYO_3zgRler3_wV9CPo?authuser=0&hl=en&rclk=1,"Health, Islamabad"
77,driubaigclinicipl_33.722504_73.082185,"Dr I U BAIG Clinic, IPL","Dr I U BAIG Clinic, IPL
4.3(12)
Medical clinic · 21 East AKM Fazl-ul-Haq Rd
Closed ⋅ Opens 4:30 PM · +92 300 5518890",Medical clinic,Closed,33.7225042,73.0821849,"https://www.google.com/maps/place/Dr+I+U+BAIG+Clinic,+IPL/data=!4m7!3m6!1s0x38dfbff09f8cec3b:0x9c59fef81c180c4!8m2!3d33.7225042!4d73.0821849!16s%2Fg%2F11j8zt6f04!19sChIJO-yMn_C_3zgRxIDBge-fxQk?authuser=0&hl=en&rclk=1","Health, Islamabad"
78,thefamilyclinic_33.722563_73.060438,The Family Clinic,"The Family Clinic
4.0(59)
Medical clinic · Jinnah super Market, Pak Land trade center, 3rd floor Office no 8 F7/2
Open ⋅ Closes 5 PM · +92 51 2651666",Medical clinic,Open,33.7225625,73.0604375,https://www.google.com/maps/place/The+Family+Clinic/data=!4m7!3m6!1s0x38dfbfd01869359d:0xa42e70676acb0d42!8m2!3d33.7225625!4d73.0604375!16s%2Fg%2F11v9byxh_3!19sChIJnTVpGNC_3zgRQg3LamdwLqQ?authuser=0&hl=en&rclk=1,"Health, Islamabad"
79,departmentofpsychiat_33.711750_73.070618,Department of Psychiatry Federal Government Polyclinic,"Department of Psychiatry Federal Government Polyclinic
5.0(1)
Mental health service · P36C+M5V
Closed ⋅ Opens 9 AM Fri · +92 51 9252470",Mental health service,Closed,33.7117501,73.0706179,https://www.google.com/maps/place/Department+of+Psychiatry+Federal+Government+Polyclinic/data=!4m7!3m6!1s0x38dfbf06701ffdad:0x52c571d8a5b406c9!8m2!3d33.7117501!4d73.0706179!16s%2Fg%2F11s3d5dbs0!19sChIJrf0fcAa_3zgRyQa0pdhxxVI?authuser=0&hl=en&rclk=1,"Health, Islamabad"
80,islamabadpsychologic_33.691360_72.999301,Islamabad Psychological Support By Maliha Ahmed,"Islamabad Psychological Support By Maliha Ahmed
5.0(33)
Mental health service · MXRX+GPV, Street 14
Open 24 hours · +92 316 5823033",Mental health service,Open 24 hours,33.6913602,72.9993008,https://www.google.com/maps/place/Islamabad+Psychological+Support+By+Maliha+Ahmed/data=!4m7!3m6!1s0x38dfbf0ac6cfc751:0x81abda60bfe86fad!8m2!3d33.6913602!4d72.9993008!16s%2Fg%2F11q1qqj_w5!19sChIJUcfPxgq_3zgRrW_ov2Daq4E?authuser=0&hl=en&rclk=1,"Health, Islamabad"
